what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1365508468253
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1365508468638
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1365508468719
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1365508468732
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1365508468737
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1365508468892
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1365508474149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508476882
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1365508486140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508486940
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1365508487003
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508487240
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508487302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508489032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508546623
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508550462
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508552643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508557504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508563290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508564576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508614981
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365508626322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508627765
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508629704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508629784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1365508629790
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508632333
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1365508636700
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1365508636734
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1365508636750
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1365508646763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508648149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508648326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508652816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508676760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508699312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508706460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365508707296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508708497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508710373
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1365508714626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508715444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508715611
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1365508720293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508721206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508721404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508728844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508732053
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1365508735625
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1365508735735
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1365508735816
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1365508735826
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1365508735978
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1365508735980
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1365508736039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508737584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508742558
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1365508774650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508824879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508854836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365508858297
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1365508858387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508869852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508884998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508887847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508889044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508889986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508890816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508891534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508892795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508897837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508899138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508900957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508903509
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365508905198
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1365508907438
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1365508907527
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1365508907564
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1365508907638
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1365508907893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508909582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508913428
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1365508914848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365508915061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508925866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365508929455
